x,y
4.091559371,2.331478748
14.60181211,13.44006661
19.66046733,16.94485447
22,21
31.1416309,29.8077287
34.64377682,33.90484842
52.15641392,50.66235192
56.04959466,54.56455093
63.05579399,60.60330797
71.22556032,69.95760948
83.48307105,80.48900496
85.42870768,84
87.96185026,86.33473373
93,88
102,90
110,95
120,100
